molecule_chembl_id,pchembl_value
CHEMBL1934621,6.19
CHEMBL4226436,6.575
CHEMBL121796,8.15
CHEMBL392664,6.96
CHEMBL404849,6.1
CHEMBL3219134,7.22
CHEMBL5397162,6.59
CHEMBL5405276,6.66
CHEMBL5876660,6.01
CHEMBL5903491,8.1
CHEMBL4278815,8.27
CHEMBL1173193,5.09
CHEMBL2385967,5.64
CHEMBL3818289,8.2167
CHEMBL1090356,7.2
CHEMBL5746567,6.76
CHEMBL414220,7.15
CHEMBL4067014,6.635
CHEMBL5631951,7.265
CHEMBL592141,4.5
CHEMBL1821890,5.24
CHEMBL5646609,7.152
CHEMBL1958036,5.07
CHEMBL127041,9.62
CHEMBL455433,6.75
CHEMBL5972110,8.66
CHEMBL5795375,8.23
CHEMBL6014011,7.72
CHEMBL4204139,7.29
CHEMBL3344216,8.39
CHEMBL3344221,7.52
CHEMBL3344208,8.17
CHEMBL162622,9.17
CHEMBL1947126,6.21
CHEMBL3360619,9.48
CHEMBL5864713,7.26
CHEMBL3919271,6.725
CHEMBL592713,7.75
CHEMBL80302,7.0
CHEMBL418906,5.925
CHEMBL363607,4.34
CHEMBL1956891,4.0
CHEMBL3764603,8.315
CHEMBL212954,7.55
CHEMBL485065,5.3
CHEMBL385479,7.75
CHEMBL1093815,7.08
CHEMBL3942228,8.4
CHEMBL5866027,6.26
CHEMBL418203,5.34
CHEMBL428690,4.82
CHEMBL6002504,6.26
CHEMBL380078,7.64
CHEMBL590524,5.13
CHEMBL1828872,5.02
CHEMBL3775285,6.61
CHEMBL5797573,5.56
CHEMBL597708,5.45
CHEMBL2437465,7.9517
CHEMBL5759248,6.74
CHEMBL125086,8.52
CHEMBL5876051,7.4625
CHEMBL118904,6.57
CHEMBL2420867,8.27
CHEMBL134312,7.96
CHEMBL5414141,7.43
CHEMBL3924500,7.19
CHEMBL5430071,7.72
CHEMBL5271284,6.71
CHEMBL1242288,4.9
CHEMBL6049268,6.76
CHEMBL3586174,5.09
CHEMBL3758749,6.82
CHEMBL3734933,6.54
CHEMBL2178351,7.98
CHEMBL3671500,8.52
CHEMBL446250,8.52
CHEMBL5864620,7.69
CHEMBL4475770,6.7
CHEMBL5186794,6.6533
CHEMBL3985134,7.19
CHEMBL4447036,5.52
CHEMBL5438475,6.96
CHEMBL162508,8.74
CHEMBL3237936,5.49
CHEMBL3699588,7.3443
CHEMBL4281367,8.575
CHEMBL5401619,7.5133
CHEMBL5822356,8.1
CHEMBL6058403,6.56
CHEMBL5559904,4.21
CHEMBL1243284,8.815
CHEMBL5939106,6.26
CHEMBL5908975,6.26
CHEMBL6050763,8.7
CHEMBL153843,4.98
CHEMBL92731,7.05
CHEMBL4521028,8.23
CHEMBL4129138,7.615
CHEMBL4126810,7.5467
CHEMBL57758,7.06
CHEMBL431001,4.79
CHEMBL5969707,8.63
CHEMBL5431658,7.085
CHEMBL589831,6.03
CHEMBL4070404,7.45
CHEMBL1934631,7.03
CHEMBL186802,5.25
CHEMBL5949708,7.3
CHEMBL427671,7.09
CHEMBL293986,4.0
CHEMBL599524,5.14
CHEMBL3663928,9.015
CHEMBL2437479,7.9571
CHEMBL169390,7.1
CHEMBL5434109,6.84
CHEMBL3786962,7.89
CHEMBL5953169,7.74
CHEMBL608533,5.52
CHEMBL338448,5.72
CHEMBL4851555,5.99
CHEMBL3699590,7.7
CHEMBL3674151,8.3067
CHEMBL5557998,4.94
CHEMBL2347964,7.195
CHEMBL4529183,6.09
CHEMBL2029693,4.64
CHEMBL2437468,6.45
CHEMBL3219131,6.7725
CHEMBL3946259,6.85
CHEMBL4228473,7.1933
CHEMBL5763277,8.52
CHEMBL184750,6.29
CHEMBL3671509,7.04
CHEMBL52015,7.08
CHEMBL5076881,6.63
CHEMBL4459564,4.73
CHEMBL3426225,5.45
CHEMBL5831823,7.46
CHEMBL4755988,7.09
CHEMBL5633818,7.44
CHEMBL3741304,7.5
CHEMBL5402235,7.64
CHEMBL5286675,5.65
CHEMBL4468521,5.62
CHEMBL3736121,6.125
CHEMBL461795,8.22
CHEMBL5412305,8.47
CHEMBL5395404,6.14
CHEMBL190651,5.3
CHEMBL3347487,6.7
CHEMBL233324,6.62
CHEMBL5980088,5.05
CHEMBL4746030,6.69
CHEMBL2437478,5.7486
CHEMBL4581316,8.0233
CHEMBL6033348,8.7
CHEMBL5419520,7.19
CHEMBL5406951,8.43
CHEMBL5915264,8.7
CHEMBL4569755,5.95
CHEMBL3734934,5.6
CHEMBL4207984,6.5633
CHEMBL5208825,6.57
CHEMBL3612587,8.14
CHEMBL4212450,6.4667
CHEMBL6023442,6.11
CHEMBL5904700,8.52
CHEMBL5178703,8.09
CHEMBL5181694,7.59
CHEMBL5170965,7.06
CHEMBL5176854,7.49
CHEMBL90595,7.24
CHEMBL5517918,6.64
CHEMBL5568213,6.25
CHEMBL6023885,8.255
CHEMBL57990,7.31
CHEMBL5953946,7.8
CHEMBL250524,7.1
CHEMBL5774147,5.3
CHEMBL133024,7.0
CHEMBL251497,6.82
CHEMBL98798,5.12
CHEMBL2425087,7.8
CHEMBL4159404,7.42
CHEMBL3734877,5.63
CHEMBL3977192,7.11
CHEMBL4553504,6.92
CHEMBL5933081,5.26
CHEMBL6000647,8.22
CHEMBL170724,6.24
CHEMBL1914672,7.57
CHEMBL4749518,6.47
CHEMBL3895411,8.4
CHEMBL3751967,6.32
CHEMBL5563305,6.66
CHEMBL5401705,6.54
CHEMBL3608433,8.118
CHEMBL299707,4.0
CHEMBL165864,9.72
CHEMBL2105719,8.22
CHEMBL21108,4.05
CHEMBL3759280,8.3
CHEMBL5558514,6.46
CHEMBL4447196,6.3
CHEMBL1173397,4.82
CHEMBL4868965,5.87
CHEMBL5556861,6.325
CHEMBL4227091,8.395
CHEMBL118321,4.77
CHEMBL1821891,5.31
CHEMBL3975699,7.36
CHEMBL1097189,5.6
CHEMBL4280993,8.045
CHEMBL4531250,7.0433
CHEMBL1242026,6.18
CHEMBL1098120,6.0
CHEMBL206197,5.235
CHEMBL3957025,7.77
CHEMBL4789796,6.0
CHEMBL117554,5.16
CHEMBL5836601,6.56
CHEMBL5807906,6.56
CHEMBL4210550,7.08
CHEMBL5912353,8.52
CHEMBL4648271,7.445
CHEMBL3290142,7.55
CHEMBL3671491,8.7
CHEMBL91867,9.026
CHEMBL5417458,6.76
CHEMBL485745,5.2
CHEMBL6056083,5.62
CHEMBL4586164,5.54
CHEMBL2385980,5.26
CHEMBL3983460,5.53
CHEMBL121954,9.0
CHEMBL1173713,4.96
CHEMBL4083486,8.64
CHEMBL3797963,7.14
CHEMBL194337,5.68
CHEMBL6000385,6.44
CHEMBL592457,7.05
CHEMBL14932,7.01
CHEMBL4210237,5.0933
CHEMBL5287229,8.8767
CHEMBL3929584,7.54
CHEMBL1821871,6.43
CHEMBL4060103,8.035
CHEMBL433205,8.48
CHEMBL6063800,7.875
CHEMBL14627,7.13
CHEMBL497459,8.1
CHEMBL4746321,6.39
CHEMBL3671571,7.92
CHEMBL5826541,7.7433
CHEMBL2381511,6.7967
CHEMBL1271561,7.705
CHEMBL265629,6.46
CHEMBL4206501,7.6533
CHEMBL3753811,6.92
CHEMBL3263374,5.2
CHEMBL5810396,6.57
CHEMBL498134,7.8
CHEMBL257861,7.8
CHEMBL4793852,7.9367
CHEMBL5920538,7.7
CHEMBL4447982,6.65
CHEMBL157304,4.33
CHEMBL250923,8.4
CHEMBL2070195,5.43
CHEMBL5851917,8.7
CHEMBL3774926,6.46
CHEMBL5181487,7.26
CHEMBL5204446,6.2467
CHEMBL4241867,5.72
CHEMBL4229213,7.2
CHEMBL6034048,6.52
CHEMBL4210100,6.57
CHEMBL51265,7.29
CHEMBL6027049,6.26
CHEMBL48614,5.78
CHEMBL432738,5.87
CHEMBL5857449,7.43
CHEMBL205783,5.86
CHEMBL5199166,6.7275
CHEMBL6048492,8.0
CHEMBL5850696,8.55
CHEMBL5413423,7.045
CHEMBL5931729,8.3
CHEMBL332906,8.7
CHEMBL136674,7.15
CHEMBL5785108,7.96
CHEMBL4855312,6.12
CHEMBL1821879,4.71
CHEMBL5440766,7.66
CHEMBL3904205,6.76
CHEMBL5556316,4.37
CHEMBL3647418,8.32
CHEMBL91,4.53
CHEMBL424252,5.72
CHEMBL1828878,4.8
CHEMBL5985094,8.4
CHEMBL363815,8.61
CHEMBL598305,5.76
CHEMBL5950429,9.1733
CHEMBL154969,4.17
CHEMBL1956892,4.16
CHEMBL4079768,8.14
