molecule_chembl_id,canonical_smiles,inchi_key,pchembl_value,bioactivity_class,group_type,MW,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,violates_mw,violates_logp,violates_hdonors,violates_hacceptors,ro5_violations
CHEMBL6047998,COC1CCN(c2nccc(Nc3cc4c(cn3)nc(COCCN3CCN(c5ccc(O[C@H]6C[C@H](OCC(=O)N[C@H](C(=O)N7C[C@H](O)C[C@H]7C(=O)NCc7ccc(-c8scnc8C)cc7)C(C)(C)C)C6)cc5)CC3)n4C(C)C)n2)CC1,QJJWPFOXQJMHEQ-BHWMKUFBSA-N,6.335,active,nonzero_sd,1142.4419999999998,6.667220000000011,4.0,19.0,226.78999999999996,22.0,True,True,False,True,3
CHEMBL5909666,Cc1nc(F)ccc1[C@H](Nc1cc(C#N)c2ncc(C#N)c(NC3CCOCC3(C)C)c2c1)C1=CN(C2(C3CC3)CC2)NN1,QJKNGVWVZLTPDY-BDTAHNRFSA-N,9.0,active,single_entry,593.711,5.309680000000004,4.0,10.0,133.95,8.0,True,True,False,False,2
CHEMBL5791987,O=C(/C=C/CN1CCC1CO)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC[C@H]1COCCO1,QJNMNCUMDUMIJV-CBCWIBMJSA-N,8.57,active,single_entry,558.0100000000002,3.5214000000000016,3.0,9.0,118.07000000000002,10.0,True,False,False,False,1
CHEMBL5890488,O=C(/C=C/CN1CCC1CO)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC[C@@H]1COCCO1,QJNMNCUMDUMIJV-OMSMFVMISA-N,7.76,active,single_entry,558.0100000000002,3.5214000000000016,3.0,9.0,118.07000000000002,10.0,True,False,False,False,1
CHEMBL3133752,COc1cc2ncnc(Nc3cccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)c3)c2cc1OCCCN1CCOCC1,QJVCNHYCOKNFLA-UHFFFAOYSA-N,7.09,active,single_entry,631.0549999999997,6.799300000000005,3.0,8.0,109.87000000000002,10.0,True,True,False,False,2
CHEMBL3901622,C[C@@H](Nc1ncnc2oc(-c3ccc(NCCN(C)C)cc3)cc12)c1ccccc1,QJXSNAGEGZAXGL-QGZVFWFLSA-N,8.03,active,nonzero_sd,401.51400000000007,5.036400000000004,2.0,6.0,66.22,8.0,False,True,False,False,1
CHEMBL2437473,COc1ccc(Nc2ncc3ncc(=O)n(-c4cccc(N)c4)c3n2)cc1,QKANEQHLFOWQRR-UHFFFAOYSA-N,4.3267,inactive,nonzero_sd,360.3770000000001,2.5101000000000004,2.0,8.0,107.94999999999999,4.0,False,False,False,False,0
CHEMBL308645,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,QKAUOZDTEZWAOG-JYRVWZFOSA-N,8.33,active,single_entry,441.8500000000001,4.1591200000000015,4.0,5.0,120.0,6.0,False,False,False,False,0
CHEMBL1080815,Clc1cccc(Nc2ncnc3ccc(Cl)cc23)c1,QKCFZLIUAVWYRM-UHFFFAOYSA-N,5.57,intermediate,single_entry,290.153,4.680200000000001,1.0,3.0,37.81,2.0,False,False,False,False,0
CHEMBL3663929,C=CC(=O)N1CC[C@@H](Oc2nc(Nc3ccc(N4CCC(N5CCN(C)CC5)CC4)cc3)c(C(N)=O)nc2CC)C1,QKDCLUARMDUUKN-XMMPIXPASA-N,8.0229,active,nonzero_sd,562.7190000000003,2.2634000000000016,2.0,9.0,120.16000000000001,9.0,True,False,False,False,1
CHEMBL3671568,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)C1CCCN1C,QKEQHMZWPIXXEY-UHFFFAOYSA-N,7.39,active,nonzero_sd,557.4240000000001,3.9887000000000024,3.0,7.0,108.48,9.0,True,False,False,False,1
CHEMBL5978427,Cc1nc(F)ccc1[C@H](Nc1cc(-c2cncnc2)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C(F)F)CC2)NN1,QKGGERHNQPKOCB-LJAQVGFWSA-N,7.68,active,single_entry,614.6800000000003,5.981100000000004,4.0,10.0,126.71,9.0,True,True,False,False,2
CHEMBL394057,O=C(O)COCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,QKLWVDQKXUTTEU-UHFFFAOYSA-N,7.52,active,single_entry,446.4420000000002,3.611200000000002,2.0,8.0,106.57,8.0,False,False,False,False,0
CHEMBL544074,C=C(CN1CCCCC1)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,QKMIAJCXGXFQLV-UHFFFAOYSA-N,5.96,intermediate,single_entry,371.90799999999996,4.912200000000006,0.0,3.0,29.540000000000003,7.0,False,False,False,False,0
CHEMBL1812560,O=C(/C=C/c1ccccc1[N+](=O)[O-])Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,QKMIUXGTOIHPPR-DHZHZOJOSA-N,5.99,intermediate,single_entry,490.3170000000001,5.696000000000002,2.0,6.0,110.05,6.0,False,True,False,False,1
CHEMBL5789285,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(C4CCN(CCF)C(=O)C4)cc3OC)ncc2C(F)(F)F)c1,QKNILDDOBRHBTL-UHFFFAOYSA-N,5.41,intermediate,single_entry,572.5630000000006,5.791200000000004,3.0,7.0,108.47999999999999,10.0,True,True,False,False,2
CHEMBL1088901,CN(C)CCCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,QKNUBNZRMFTLIJ-UHFFFAOYSA-N,6.72,active,single_entry,428.3340000000001,4.4162000000000035,2.0,5.0,70.15,7.0,False,False,False,False,0
CHEMBL591040,C=C=CCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O,QKSLQDKGPPYGOY-UHFFFAOYSA-N,7.18,active,single_entry,399.8530000000001,5.761700000000004,2.0,5.0,67.27,8.0,False,True,False,False,1
CHEMBL4468464,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(Cc2ccccc2F)nn1,QKTKDJIEUPRNOB-UHFFFAOYSA-N,7.92,active,single_entry,547.9530000000002,5.648300000000003,2.0,8.0,106.85,9.0,True,True,False,False,2
CHEMBL93461,CC(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,QKWCLFRBLRJXQM-UHFFFAOYSA-N,7.4,active,single_entry,357.21100000000007,4.094300000000002,2.0,4.0,66.91,3.0,False,False,False,False,0
